stock_code,stock_name,股票代码,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
sz000055,方大集团,000055,0.14,3206555034.28,-0.3052515879,-11.9481,149711190.7,-43.81,-49.6135,2.5,-0.142702541245,18.0481123609,装修装饰,2024-10-29
sz000056,皇庭国际,000056,-0.23,522735624.23,-48.4123637638,-2.3784,-261575350.07,48.84,-67.2743,-30.29,0.238369229291,59.8800382509,房地产服务,2024-10-29
sz000058,深 赛 格,000058,0.031,1243637571.71,-9.9764512778,13.8366,38126457.05,-72.91,-149.126,1.9,0.045577643804,25.0237986636,商业百货,2024-10-30
sz000059,华锦股份,000059,-1.1812,24500031616.35,-25.6916566022,-71.5129,-1889259166.97,-381.94,-374.1533,-14.16,-2.137307779323,9.1326471242,石油行业,2024-10-16
sz000060,中金岭南,000060,0.21,45722541115.04,-13.4835994872,19.5286,799497983.83,11.66,-14.8911,5.87,0.241362463524,5.8934640942,有色金属,2024-10-29
sz000061,农 产 品,000061,0.1846,3730352474.27,-7.9286689313,8.3682,313283494.89,7.31,-22.9178,5.05,0.279159548046,29.8798345443,贸易行业,2024-10-31
sz000062,深圳华强,000062,0.2546,16280214213.4,13.6278577966,-0.3572,266248705.44,-35.14,-24.7272,3.7,1.426609965477,8.2486662229,电子元件,2024-10-30
sz000063,中兴通讯,000063,1.65,90044542000.0,0.7283520784,-13.6368,7906403000.0,0.8319808559,-27.3281,11.27,1.682759971668,40.4339865486,通信设备,2024-10-22
sz000065,北方国际,000065,0.76,14121636179.14,-3.4754954438,-31.3633,757513413.18,9.7,-20.7397,8.59,-0.455720944801,11.7003122251,工程建设,2024-10-31
sz000066,中国长城,000066,-0.213,9605795089.25,19.2720533142,3.4362,-687639695.03,17.2431020437,-54.9909,-5.58,-0.270143714629,16.3800347502,计算机设备,2024-10-31
sz000068,华控赛格,000068,-0.0746,537876969.36,-11.392551756,272.3549,-75103283.52,-119.62,38.9901,-11.35,0.050301153038,2.6336165121,环保行业,2024-10-29
sz000069,华侨城Ａ,000069,-0.3069,29329645520.58,-7.6531398815,-55.8306,-2350812113.63,29.76,-83.8475,-4.28,0.207438896653,12.8776437472,房地产开发,2024-10-31
sz000070,ST特信,000070,0.0049,3538939093.69,0.4147415344,-13.3383,4423945.33,122.95,141.8262,0.23,0.161591016301,14.1142963865,通信设备,2024-10-26
sz000078,海王生物,000078,0.0176,24552692705.95,-14.2725029075,-7.2833,46217326.63,-47.77,-70.8318,1.53,0.019257201864,9.9001038903,医药商业,2024-10-31
sz000088,盐 田 港,000088,0.2343,613151263.35,-9.5159004891,-0.7468,1004182451.95,5.7,1.5977,7.52,0.077465031782,24.927774291,航运港口,2024-10-31
sz000089,深圳机场,000089,0.1594,3465307094.68,13.9202320575,8.2097,326870150.31,99.38,91.3774,2.92,0.782441260209,21.0246431177,航空机场,2024-10-25
sz000090,天健集团,000090,0.1609,9239136891.75,-47.6058422366,8.0676,328490389.81,-68.01,-45.404,2.65,0.024930887498,16.2271876464,房地产开发,2024-10-25
sz000096,广聚能源,000096,0.1267,1534844925.05,-19.339478739,-6.2723,66913061.93,11.14,186.8719,2.45,-0.005801763845,8.6480895733,石油行业,2024-10-30
