date,stock_code,price,ratio,triggered,trigger_time
2025-07-22,000758.SZ,6.03,100.0%,False,
2025-07-22,000993.SZ,11.03,100.0%,False,
2025-07-22,002167.SZ,11.84,100.0%,False,
2025-07-22,002900.SZ,16.17,40.0%,True,2025-07-22 09:25:00
2025-07-22,002900.SZ,16.17,35.0%,True,2025-07-22 09:31:12
2025-07-22,002900.SZ,16.17,25.0%,True,2025-07-22 09:31:12
2025-07-22,002923.SZ,13.57,40.0%,True,2025-07-22 09:25:00
2025-07-22,002923.SZ,13.57,35.0%,True,2025-07-22 09:31:12
2025-07-22,002923.SZ,13.57,25.0%,True,2025-07-22 09:31:12
2025-07-22,600343.SH,13.42,100.0%,False,
2025-07-22,600619.SH,13.43,100.0%,False,
2025-07-22,600792.SH,3.95,100.0%,False,
2025-07-22,603090.SH,28.02,40.0%,True,2025-07-22 09:25:00
2025-07-22,603090.SH,28.02,35.0%,True,2025-07-22 09:31:12
2025-07-22,603090.SH,28.02,25.0%,True,2025-07-22 09:31:12
2025-07-22,603496.SH,27.6,100.0%,False,
2025-07-22,605133.SH,34.12,100.0%,True,2025-07-22 09:31:12
