date,stock_code,price,ratio,triggered,trigger_time
2025-07-21,000796.SZ,4.56,40.0%,False,
2025-07-21,000796.SZ,4.56,35.0%,False,
2025-07-21,000796.SZ,4.56,25.0%,False,
2025-07-21,001339.SZ,53.41,40.0%,True,2025-07-21 11:17:30
2025-07-21,001339.SZ,53.41,35.0%,True,2025-07-21 11:17:30
2025-07-21,001339.SZ,53.41,25.0%,False,
2025-07-21,001359.SZ,41.56,40.0%,False,
2025-07-21,001359.SZ,41.56,35.0%,False,
2025-07-21,001359.SZ,41.56,25.0%,False,
2025-07-21,001389.SZ,66.02,40.0%,True,2025-07-21 11:15:33
2025-07-21,001389.SZ,66.02,35.0%,True,2025-07-21 11:15:33
2025-07-21,001389.SZ,66.02,25.0%,True,
2025-07-21,002542.SZ,3.63,40.0%,False,
2025-07-21,002542.SZ,3.63,35.0%,False,
2025-07-21,002542.SZ,3.63,25.0%,False,
2025-07-21,603039.SH,62.92,40.0%,False,
2025-07-21,603039.SH,62.92,35.0%,False,
2025-07-21,603039.SH,62.92,25.0%,False,
2025-07-21,603171.SH,45.24,40.0%,False,
2025-07-21,603171.SH,45.24,35.0%,False,
2025-07-21,603171.SH,45.24,25.0%,False,
2025-07-21,603738.SH,15.18,40.0%,False,
2025-07-21,603738.SH,15.18,35.0%,False,
2025-07-21,603738.SH,15.18,25.0%,False,
2025-07-21,605188.SH,11.47,40.0%,False,
2025-07-21,605188.SH,11.47,35.0%,False,
2025-07-21,605188.SH,11.47,25.0%,False,
