stock_code,stock_name,股票代码,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期,市盈率-动态,市净率,总市值,流通市值,流通股本(万股)
bj831039,国义招标,831039.0,0.07,64245090.74,-8.505815207,-41.4714,11289980.65,-25.11,-22.2814,2.09,-0.489082613899,46.7490705112,专业服务,2025-04-28,50.03,3.82,1996583600.0,1996582302.0,153819900.0
bj831087,秋乐种业,831087.0,-0.03,19194256.23,-45.2532571068,-91.5709,-4484522.57,-382.04,-110.8783,-0.8,0.309863174395,18.1998844245,农牧饲渔,2025-04-25,-63.14,5.02,2590336000.0,2518595688.0,160624725.0
bj831152,昆工科技,831152.0,-0.24,120961134.16,9.8366951968,-37.5923,-26222306.97,-332719.81,-18.9024,-6.67,-0.353344865031,3.3669053356,专用设备,2025-04-28,-26.99,6.39,2360444040.0,1741817970.0,82161225.0
bj831167,鑫汇科,831167.0,0.12,134207624.78,-10.7679196561,-30.122,5687190.18,-17.41,-2.2561,2.08,0.004618623982,14.469665894,消费电子,2025-04-28,100.6,5.12,1359036166.0,788127600.0,28985936.0
bj831175,派诺科技,831175.0,-0.15,71279399.78,-6.5701531245,-69.8595,-11580423.51,-127.33,-145.0628,-1.53,0.211302454717,39.9993620148,仪器仪表,2025-04-28,235.22,2.16,1732721021.0,1039957332.0,64916188.0
bj831195,三祥科技,831195.0,0.24,258275205.38,22.3705087703,-5.095,23678430.55,320.92,8.9389,3.16,-0.219047712435,32.7892441767,汽车零部件,2025-04-28,22.7,2.35,1784146000.0,1287813527.0,70758985.0
bj831278,泰德股份,831278.0,0.03,83873276.03,5.4007505514,-8.1205,4639414.89,-18.91,116.4207,1.24,-0.019045214112,25.0034802653,汽车零部件,2025-04-18,74.64,4.57,1717007040.0,1229660195.0,111382264.0
bj831304,迪尔化工,831304.0,0.09,175304188.52,-8.1796263499,-5.4102,14219629.68,-37.37,16.255,2.78,-0.166072854247,13.5267976825,化学原料,2025-04-21,40.63,4.39,2186019360.0,1061824663.0,78828854.0
bj831305,海希通讯,831305.0,0.21,182980012.68,-2.7692353379,3.7951,29261245.47,-0.65,356.5494,3.69,-0.198391458292,33.6819401351,仪器仪表,2025-04-28,38.22,3.9,3169876000.0,2488039786.0,110090256.0
bj831370,新安洁,831370.0,-0.03,112110884.6,-9.6003296486,2.6401,-8725121.84,-382.67,49.7322,-1.35,-0.041400667657,15.8470981595,环保行业,2025-04-25,-32.95,2.29,1438357213.0,1252883953.0,261562412.0
