日期,目标股票,排除股票,第四天股票
2025-06-27 09:07,"000519.SZ,002281.SZ,002355.SZ,002705.SZ,002820.SZ,002882.SZ,600184.SH,600318.SH,600391.SH,600590.SH,600592.SH,600604.SH,601133.SH,601162.SH,601177.SH,603032.SH,603119.SH,603123.SH,603212.SH,603258.SH,603275.SH,603383.SH,603800.SH,603920.SH,603929.SH,603980.SH,605378.SH,605398.SH",无,
2025-06-27 09:08,"000519.SZ,002281.SZ,002355.SZ,002705.SZ,002820.SZ,002882.SZ,600184.SH,600318.SH,600391.SH,600590.SH,600592.SH,600604.SH,601133.SH,601162.SH,601177.SH,603032.SH,603119.SH,603123.SH,603212.SH,603258.SH,603275.SH,603383.SH,603800.SH,603920.SH,603929.SH,603980.SH,605378.SH,605398.SH",无,
2025-06-27 09:14,"000519.SZ,002281.SZ,002355.SZ,002705.SZ,002820.SZ,002882.SZ,600184.SH,600318.SH,600391.SH,600590.SH,600592.SH,600604.SH,601133.SH,601162.SH,601177.SH,603032.SH,603119.SH,603123.SH,603212.SH,603258.SH,603275.SH,603383.SH,603800.SH,603920.SH,603929.SH,603980.SH,605378.SH,605398.SH",无,
2025-06-27 16:54,"000519.SZ,000892.SZ,002846.SZ,600095.SH,600113.SH,600156.SH,600184.SH,600250.SH,600318.SH,600391.SH,601162.SH,603123.SH,603383.SH,605378.SH",无,
2025-06-27 17:08,"000519.SZ,000892.SZ,002846.SZ,600095.SH,600113.SH,600156.SH,600184.SH,600250.SH,600318.SH,600391.SH,601162.SH,603123.SH,603383.SH,605378.SH",无,
2025-06-27 17:09,"000519.SZ,000892.SZ,002846.SZ,600095.SH,600113.SH,600156.SH,600184.SH,600250.SH,600318.SH,600391.SH,601162.SH,603123.SH,603383.SH,605378.SH",无,
2025-06-30 13:42,"000519.SZ,600184.SH,600250.SH,600318.SH,600391.SH,603123.SH,603383.SH","sh600156,sh601162",
2025-07-01 10:23,"002185.SZ,002281.SZ,002355.SZ,002467.SZ,600184.SH,600250.SH,600281.SH,600391.SH,601162.SH,601177.SH,603383.SH",sh600156,
2025-07-02 00:37,"000677.SZ,002103.SZ,002185.SZ,002246.SZ,003031.SZ,600281.SH,600366.SH,603040.SH,603127.SH,603444.SH,603579.SH,603669.SH",无,
2025-07-02 00:40,"000677.SZ,002103.SZ,002185.SZ,002246.SZ,003031.SZ,600281.SH,600366.SH,600562.SH,603040.SH,603127.SH,603444.SH,603579.SH,603669.SH,603982.SH",无,
