date,stock_code,price,weight,triggered,trigger_time
2025-06-27,002882.SZ,33.67,30.0%,False,
2025-06-27,002882.SZ,33.54,30.0%,False,
2025-06-27,600184.SH,15.85,40.0%,False,
2025-06-27,600184.SH,15.75,30.0%,False,
2025-06-27,600184.SH,15.68,30.0%,False,
2025-06-27,600318.SH,9.63,40.0%,False,
2025-06-27,600318.SH,9.57,30.0%,False,
2025-06-27,600318.SH,9.53,30.0%,False,
2025-06-27,600391.SH,27.0,40.0%,False,
2025-06-27,600391.SH,26.84,30.0%,False,
2025-06-27,600391.SH,26.72,30.0%,False,
2025-06-27,601162.SH,4.44,40.0%,False,
2025-06-27,601162.SH,4.41,30.0%,False,
2025-06-27,601162.SH,4.4,30.0%,False,
2025-06-27,601177.SH,18.26,40.0%,False,
2025-06-27,601177.SH,18.15,30.0%,False,
2025-06-27,601177.SH,18.07,30.0%,False,
2025-06-27,603119.SH,43.94,40.0%,False,
2025-06-27,603119.SH,43.67,30.0%,False,
2025-06-27,603119.SH,43.49,30.0%,False,
2025-06-27,603123.SH,14.18,40.0%,False,
2025-06-27,603123.SH,14.09,30.0%,False,
2025-06-27,603123.SH,14.03,30.0%,False,
2025-06-27,603258.SH,24.1,40.0%,False,
2025-06-27,603258.SH,23.96,30.0%,False,
2025-06-27,603258.SH,23.86,30.0%,False,
2025-06-27,603275.SH,44.46,40.0%,False,
2025-06-27,603275.SH,44.18,30.0%,False,
2025-06-27,603275.SH,44.0,30.0%,False,
2025-06-27,603383.SH,41.31,40.0%,False,
2025-06-27,603383.SH,41.05,30.0%,False,
2025-06-27,603383.SH,40.88,30.0%,False,
2025-06-27,603800.SH,26.06,40.0%,False,
2025-06-27,603800.SH,25.9,30.0%,False,
2025-06-27,603800.SH,25.8,30.0%,False,
2025-06-27,603920.SH,29.53,40.0%,False,
2025-06-27,603920.SH,29.35,30.0%,False,
2025-06-27,603920.SH,29.23,30.0%,False,
2025-06-27,603929.SH,32.48,40.0%,False,
2025-06-27,603929.SH,32.27,30.0%,False,
2025-06-27,603929.SH,32.14,30.0%,False,
2025-06-27,605378.SH,19.5,40.0%,False,
2025-06-27,605378.SH,19.38,30.0%,False,
2025-06-27,605378.SH,19.3,30.0%,False,
2025-06-27,000519.SZ,19.14,40.0%,False,
2025-06-27,000519.SZ,19.02,30.0%,False,
2025-06-27,000519.SZ,18.94,30.0%,False,
2025-06-27,002281.SZ,47.52,40.0%,False,
2025-06-27,002281.SZ,47.23,30.0%,False,
2025-06-27,002281.SZ,47.04,30.0%,False,
2025-06-27,002355.SZ,7.69,40.0%,False,
2025-06-27,002355.SZ,7.65,30.0%,False,
2025-06-27,002355.SZ,7.62,30.0%,False,
2025-06-27,002705.SZ,14.79,40.0%,True,2025-06-27 14:27:50
2025-06-27,002705.SZ,14.69,30.0%,False,
2025-06-27,002705.SZ,14.63,30.0%,False,
2025-06-27,002882.SZ,33.88,40.0%,False,
2025-06-27,002882.SZ,33.67,30.0%,False,
2025-06-27,002882.SZ,33.54,30.0%,False,
2025-06-27,600184.SH,15.85,40.0%,False,
2025-06-27,600184.SH,15.75,30.0%,False,
2025-06-27,600184.SH,15.68,30.0%,False,
2025-06-27,600318.SH,9.63,40.0%,False,
2025-06-27,600318.SH,9.57,30.0%,False,
2025-06-27,600318.SH,9.53,30.0%,False,
2025-06-27,600391.SH,27.0,40.0%,False,
2025-06-27,600391.SH,26.84,30.0%,False,
2025-06-27,600391.SH,26.72,30.0%,False,
2025-06-27,601162.SH,4.44,40.0%,False,
2025-06-27,601162.SH,4.41,30.0%,False,
2025-06-27,601162.SH,4.4,30.0%,False,
2025-06-27,601177.SH,18.26,40.0%,False,
2025-06-27,601177.SH,18.15,30.0%,False,
2025-06-27,601177.SH,18.07,30.0%,False,
2025-06-27,603119.SH,43.94,40.0%,False,
2025-06-27,603119.SH,43.67,30.0%,False,
2025-06-27,603119.SH,43.49,30.0%,False,
2025-06-27,603123.SH,14.18,40.0%,False,
2025-06-27,603123.SH,14.09,30.0%,False,
2025-06-27,603123.SH,14.03,30.0%,False,
2025-06-27,603258.SH,24.1,40.0%,False,
2025-06-27,603258.SH,23.96,30.0%,False,
2025-06-27,603258.SH,23.86,30.0%,False,
2025-06-27,603275.SH,44.46,40.0%,False,
2025-06-27,603275.SH,44.18,30.0%,False,
2025-06-27,603275.SH,44.0,30.0%,False,
2025-06-27,603383.SH,41.31,40.0%,False,
2025-06-27,603383.SH,41.05,30.0%,False,
2025-06-27,603383.SH,40.88,30.0%,False,
2025-06-27,603800.SH,26.06,40.0%,False,
2025-06-27,603800.SH,25.9,30.0%,False,
2025-06-27,603800.SH,25.8,30.0%,False,
2025-06-27,603920.SH,29.53,40.0%,False,
2025-06-27,603920.SH,29.35,30.0%,False,
2025-06-27,603920.SH,29.23,30.0%,False,
2025-06-27,603929.SH,32.48,40.0%,False,
2025-06-27,603929.SH,32.27,30.0%,False,
2025-06-27,603929.SH,32.14,30.0%,False,
2025-06-27,605378.SH,19.5,40.0%,False,
2025-06-27,605378.SH,19.38,30.0%,False,
2025-06-27,605378.SH,19.3,30.0%,False,
2025-06-27,605398.SH,32.2,40.0%,False,
2025-06-27,605398.SH,32.01,30.0%,False,
2025-06-27,605398.SH,31.88,30.0%,False,
