行业代码,行业名称,上级行业,成份个数,静态市盈率,TTM(滚动)市盈率,市净率,静态股息率
801016.SI,种植业,农林牧渔,20,47.2,46.59,2.94,1.38
801015.SI,渔业,农林牧渔,6,65.98,47.19,1.2,0.46
801014.SI,饲料,农林牧渔,17,24.87,20.4,2.99,1.77
801012.SI,农产品加工,农林牧渔,22,47.31,40.71,1.92,0.91
801017.SI,养殖业,农林牧渔,23,15.55,15.92,2.68,2.78
801018.SI,动物保健Ⅱ,农林牧渔,10,50.11,36.19,2.13,1.22
801033.SI,化学原料,基础化工,57,25.53,24.8,2.22,1.91
801034.SI,化学制品,基础化工,170,31.97,29.31,2.83,1.19
801032.SI,化学纤维,基础化工,27,30.86,32.23,2.21,1.35
801036.SI,塑料,基础化工,72,67.75,58.71,4.01,0.6
801037.SI,橡胶,基础化工,17,40.08,40.75,3.34,0.99
801038.SI,农化制品,基础化工,58,30.28,25.96,3.03,1.92
801039.SI,非金属材料Ⅱ,基础化工,7,73.68,65.16,4.23,0.54
801043.SI,冶钢原料,钢铁,9,45.04,48.05,2.79,1.42
801044.SI,普钢,钢铁,23,36.64,24.97,1.01,1.54
801045.SI,特钢Ⅱ,钢铁,12,21.21,18.69,2.33,2.63
801051.SI,金属新材料,有色金属,30,75.92,71.26,5.19,0.63
801055.SI,工业金属,有色金属,60,31.52,25.41,4.0,1.4
801053.SI,贵金属,有色金属,11,59.41,41.21,6.29,0.78
801054.SI,小金属,有色金属,24,86.91,70.28,6.97,0.49
801056.SI,能源金属,有色金属,13,41.57,35.51,4.09,0.67
801081.SI,半导体,电子,171,122.52,102.42,7.16,0.24
801083.SI,元件,电子,57,80.8,58.96,7.05,0.67
801084.SI,光学光电子,电子,92,52.34,44.55,2.38,0.77
801082.SI,其他电子Ⅱ,电子,33,92.33,78.74,6.18,0.48
801085.SI,消费电子,电子,90,44.17,38.6,5.21,0.92
801086.SI,电子化学品Ⅱ,电子,34,90.82,80.66,5.5,0.4
801093.SI,汽车零部件,汽车,237,31.48,30.31,3.12,1.49
801092.SI,汽车服务,汽车,10,33.42,30.48,2.03,1.69
801881.SI,摩托车及其他,汽车,15,32.42,25.74,3.83,2.34
801095.SI,乘用车,汽车,8,21.38,22.28,2.02,1.48
801096.SI,商用车,汽车,13,24.39,20.2,2.01,2.96
801111.SI,白色家电,家用电器,10,11.72,10.77,2.21,5.52
801112.SI,黑色家电,家用电器,10,33.62,29.2,2.67,1.34
801113.SI,小家电,家用电器,20,22.97,23.33,3.29,2.13
801114.SI,厨卫电器,家用电器,9,15.72,16.86,1.84,3.51
801115.SI,照明设备Ⅱ,家用电器,12,22.95,28.31,2.22,3.16
801116.SI,家电零部件Ⅱ,家用电器,30,51.09,44.97,4.58,0.76
801124.SI,食品加工,食品饮料,25,24.35,24.57,2.77,3.64
801125.SI,白酒Ⅱ,食品饮料,20,17.31,18.26,4.94,4.41
801126.SI,非白酒,食品饮料,16,26.94,24.02,2.68,2.67
801127.SI,饮料乳品,食品饮料,26,26.88,26.19,3.55,3.97
801128.SI,休闲食品,食品饮料,23,30.21,33.11,3.44,2.21
801129.SI,调味发酵品Ⅱ,食品饮料,14,30.5,29.23,4.22,2.83
801131.SI,纺织制造,纺织服饰,31,20.58,21.25,2.12,3.45
801132.SI,服装家纺,纺织服饰,59,19.93,20.03,1.62,3.3
801133.SI,饰品,纺织服饰,15,22.15,24.53,2.49,3.46
801143.SI,造纸,轻工制造,23,23.88,26.0,1.68,1.91
801141.SI,包装印刷,轻工制造,41,32.15,29.12,2.75,1.74
801142.SI,家居用品,轻工制造,72,22.23,23.3,2.7,2.56
801145.SI,文娱用品,轻工制造,22,31.18,31.61,3.0,1.67
801151.SI,化学制药,医药生物,150,32.21,32.52,2.97,1.23
801155.SI,中药Ⅱ,医药生物,67,22.2,21.34,2.39,2.82
801152.SI,生物制品,医药生物,51,30.73,29.95,2.33,1.61
801154.SI,医药商业,医药生物,32,17.4,16.41,1.3,2.16
801153.SI,医疗器械,医药生物,129,31.42,34.75,3.27,1.5
801156.SI,医疗服务,医药生物,51,40.72,31.8,3.65,1.21
801161.SI,电力,公用事业,102,18.75,18.16,1.77,2.7
801163.SI,燃气Ⅱ,公用事业,29,18.4,18.94,2.17,3.41
801178.SI,物流,交通运输,48,17.64,17.78,1.48,2.48
801179.SI,铁路公路,交通运输,33,15.55,15.93,1.05,3.44
801991.SI,航空机场,交通运输,12,31.58,28.11,2.05,1.62
801992.SI,航运港口,交通运输,34,11.12,12.56,1.29,4.08
801181.SI,房地产开发,房地产,89,25.7,29.68,0.98,1.6
801183.SI,房地产服务,房地产,11,36.43,30.96,1.81,1.51
801202.SI,贸易Ⅱ,商贸零售,13,31.95,27.1,2.06,1.58
801203.SI,一般零售,商贸零售,58,30.83,34.89,1.89,1.83
801204.SI,专业连锁Ⅱ,商贸零售,7,42.83,47.81,3.48,1.4
801206.SI,互联网电商,商贸零售,18,31.9,37.36,2.77,1.08
801218.SI,专业服务,社会服务,30,34.07,31.14,2.95,1.46
801219.SI,酒店餐饮,社会服务,9,33.96,42.91,1.95,1.42
801993.SI,旅游及景区,社会服务,24,33.14,39.71,2.73,1.55
801994.SI,教育,社会服务,16,65.27,67.04,5.32,1.3
801782.SI,国有大型银行Ⅱ,银行,6,7.01,6.95,0.67,6.19
801783.SI,股份制银行Ⅱ,银行,9,5.69,5.66,0.54,5.17
801784.SI,城商行Ⅱ,银行,17,6.19,5.83,0.67,4.64
801785.SI,农商行Ⅱ,银行,10,6.24,6.05,0.6,4.96
801193.SI,证券Ⅱ,非银金融,50,23.59,16.38,1.43,1.52
801194.SI,保险Ⅱ,非银金融,5,9.8,7.49,1.49,2.82
801191.SI,多元金融,非银金融,27,31.43,29.02,1.7,1.5
801231.SI,综合Ⅱ,综合,15,102.51,67.64,3.35,0.55
801711.SI,水泥,建筑材料,21,19.9,16.01,0.88,3.28
801712.SI,玻璃玻纤,建筑材料,16,74.7,49.0,4.22,0.91
801713.SI,装修建材,建筑材料,35,25.53,29.04,2.38,3.44
801721.SI,房屋建设Ⅱ,建筑装饰,8,5.56,5.96,0.51,4.26
801722.SI,装修装饰Ⅱ,建筑装饰,23,23.4,23.81,1.26,2.86
801723.SI,基础建设,建筑装饰,45,7.7,8.34,0.66,2.97
801724.SI,专业工程,建筑装饰,39,19.74,22.88,1.49,1.53
801726.SI,工程咨询服务Ⅱ,建筑装饰,41,28.47,31.59,2.25,1.29
801731.SI,电机Ⅱ,电力设备,25,68.0,59.87,4.44,0.67
801733.SI,其他电源设备Ⅱ,电力设备,29,72.31,64.99,3.48,0.64
801735.SI,光伏设备,电力设备,64,33.36,34.15,4.71,1.18
801736.SI,风电设备,电力设备,29,56.54,42.79,2.72,0.69
801737.SI,电池,电力设备,95,37.93,30.79,3.89,1.36
801738.SI,电网设备,电力设备,123,41.02,36.75,3.83,1.14
801072.SI,通用设备,机械设备,217,56.0,54.98,4.24,0.8
801074.SI,专用设备,机械设备,177,41.54,38.8,3.51,1.11
801076.SI,轨交设备Ⅱ,机械设备,31,19.9,17.54,1.41,3.12
801077.SI,工程机械,机械设备,28,29.47,25.14,2.69,1.9
801078.SI,自动化设备,机械设备,78,62.36,59.51,5.32,0.55
801741.SI,航天装备Ⅱ,国防军工,9,327.58,496.73,10.04,0.1
801742.SI,航空装备Ⅱ,国防军工,46,77.35,89.86,4.42,0.5
801743.SI,地面兵装Ⅱ,国防军工,12,105.66,79.28,3.88,0.41
801744.SI,航海装备Ⅱ,国防军工,10,87.94,45.9,2.33,0.39
801745.SI,军工电子Ⅱ,国防军工,64,103.63,95.79,6.13,0.66
801101.SI,计算机设备,计算机,84,38.87,33.35,3.78,1.74
801103.SI,IT服务Ⅱ,计算机,119,85.89,85.62,4.84,0.57
801104.SI,软件开发,计算机,132,94.26,83.83,6.65,0.57
801764.SI,游戏Ⅱ,传媒,26,39.44,29.44,4.23,1.6
801765.SI,广告营销,传媒,27,35.1,34.05,4.78,3.11
801766.SI,影视院线,传媒,19,122.16,40.12,3.76,0.56
801767.SI,数字媒体,传媒,14,64.14,79.11,3.27,0.63
801769.SI,出版,传媒,29,19.66,17.22,1.45,3.19
801995.SI,电视广播Ⅱ,传媒,14,42.82,41.65,1.46,1.67
801223.SI,通信服务,通信,39,16.81,15.99,1.5,4.39
801102.SI,通信设备,通信,85,79.83,65.17,8.15,0.47
801951.SI,煤炭开采,煤炭,30,12.85,16.52,1.7,5.62
801952.SI,焦炭Ⅱ,煤炭,7,0.0,0.0,0.0,0.4
801962.SI,油服工程,石油石化,13,25.15,24.31,1.89,1.9
801963.SI,炼化及贸易,石油石化,30,14.53,16.0,1.27,3.66
801971.SI,环境治理,环保,106,24.76,25.29,1.74,1.81
801972.SI,环保设备Ⅱ,环保,27,39.72,39.24,2.23,1.41
801981.SI,个护用品,美容护理,12,37.91,33.67,2.54,1.5
801982.SI,化妆品,美容护理,14,26.76,31.7,3.35,1.94
