date,up_count,down_count
2024-09-19,4464,486
2024-09-20,1505,3445
2024-09-21,0,0
2024-09-22,0,0
2024-09-23,2475,2476
2024-09-24,4807,145
2024-09-25,3839,1115
2024-09-26,4799,156
2024-09-27,4876,79
2024-09-28,0,0
2024-09-29,0,0
2024-09-30,4951,1
2024-10-01,0,0
2024-10-02,0,0
2024-10-03,0,0
2024-10-04,0,0
2024-10-05,0,0
2024-10-06,0,0
2024-10-07,0,0
2024-10-08,4695,254
2024-10-09,259,4690
2024-10-10,2849,2101
2024-10-11,375,4575
2024-10-12,0,0
2024-10-13,0,0
2024-10-14,4675,276
2024-10-15,695,4257
2024-10-16,2456,2498
2024-10-17,1507,3450
2024-10-18,4740,216
2024-10-19,0,0
2024-10-20,0,0
2024-10-21,3453,1503
2024-10-22,3431,1525
2024-10-23,2439,2514
2024-10-24,1811,3144
2024-10-25,4115,840
2024-10-26,0,0
2024-10-27,0,0
2024-10-28,3914,1038
2024-10-29,786,4166
2024-10-30,2093,2857
2024-10-31,3409,1544
2024-11-01,902,4050
2024-11-02,0,0
2024-11-03,0,0
2024-11-04,4154,798
2024-11-05,4687,268
2024-11-06,2518,2438
2024-11-07,4215,742
2024-11-08,2084,2874
2024-11-09,0,0
2024-11-10,0,0
2024-11-11,3741,1217
2024-11-12,1323,3636
2024-11-13,2381,2577
2024-11-14,355,4604
2024-11-15,757,4204
2024-11-16,0,0
2024-11-17,0,0
2024-11-18,1026,3933
2024-11-19,4383,578
2024-11-20,4206,758
2024-11-21,2290,2673
2024-11-22,367,4598
2024-11-23,0,0
2024-11-24,0,0
2024-11-25,3544,1420
2024-11-26,1439,3527
2024-11-27,4061,904
2024-11-28,2294,2669
2024-11-29,4039,929
2024-11-30,0,0
2024-12-01,0,0
2024-12-02,4318,648
2024-12-03,2253,2713
2024-12-04,905,4061
2024-12-05,3580,1389
2024-12-06,3465,1502
2024-12-07,0,0
2024-12-08,0,0
2024-12-09,1951,3015
2024-12-10,2715,2252
2024-12-11,3695,1274
2024-12-12,3305,1664
2024-12-13,763,4206
2024-12-14,0,0
2024-12-15,0,0
2024-12-16,1664,3308
2024-12-17,509,4461
2024-12-18,2686,2284
2024-12-19,2168,2802
2024-12-20,3362,1611
2024-12-21,0,0
2024-12-22,0,0
2024-12-23,519,4452
2024-12-24,3686,1285
2024-12-25,867,4104
2024-12-26,3423,1549
2024-12-27,3322,1649
2024-12-28,0,0
2024-12-29,0,0
2024-12-30,1263,3705
2024-12-31,508,4462
2025-01-01,0,0
2025-01-02,799,4170
2025-01-03,466,4505
2025-01-04,0,0
2025-01-05,0,0
2025-01-06,2161,2810
2025-01-07,4059,914
2025-01-08,1736,3237
2025-01-09,2446,2527
2025-01-10,489,4485
2025-01-11,0,0
2025-01-12,0,0
2025-01-13,2910,2065
2025-01-14,4949,26
2025-01-15,1494,3483
2025-01-16,3066,1911
2025-01-17,2507,2470
2025-01-18,0,0
2025-01-19,0,0
2025-01-20,3457,1519
2025-01-21,1856,3122
2025-01-22,945,4037
2025-01-23,2191,2792
2025-01-24,3723,1257
2025-01-25,0,0
2025-01-26,0,0
2025-01-27,1707,3274
2025-01-28,0,0
2025-01-29,0,0
2025-01-30,0,0
2025-01-31,0,0
2025-02-01,0,0
2025-02-02,0,0
2025-02-03,0,0
2025-02-04,0,0
2025-02-05,3222,1761
2025-02-06,4444,540
2025-02-07,3824,1160
2025-02-08,0,0
2025-02-09,0,0
2025-02-10,3800,1186
2025-02-11,1570,3415
2025-02-12,3308,1677
2025-02-13,1070,3916
2025-02-14,2249,2736
2025-02-15,0,0
2025-02-16,0,0
