date,stock_code,price,ratio,triggered,trigger_time
2025-11-24,002235.SZ,8.37,100.0%,False,
2025-11-24,600191.SH,10.33,100.0%,True,2025-11-24 14:56:56
2025-11-24,600343.SH,17.48,100.0%,False,
2025-11-24,600826.SH,11.57,100.0%,False,
