datetime,stock_code,action,target_value,current_value,shares,price,resulting_ratio
2024-08-27 09:31:00,000058.SZ,BUY_ALLOC,45871.51,0.0,7900,5.75,0.198053
2024-08-27 09:31:00,600078.SH,BUY_ALLOC,45882.76,0.0,8500,5.39,0.199705
2024-08-27 11:05:00,002855.SZ,BUY_ALLOC,45929.18,0.0,200,18.32,0.015955
2024-08-27 00:00:00,002986.SZ,REBAL_BUY,45797.88,44574.0,100,11.74,0.2
2024-08-27 00:00:00,600078.SH,REBAL_BUY,45797.88,44370.0,200,5.23,0.2
2024-08-27 00:00:00,002855.SZ,REBAL_BUY,45797.88,3662.0,2300,18.33,0.2
2024-08-28 00:00:00,000058.SZ,REBAL_SELL,45451.31,47795.0,300,6.04,0.2
2024-08-29 09:30:00,605183.SH,BUY_ALLOC,45265.31,0.0,2800,16.13,0.199552
2024-08-29 09:31:00,002370.SZ,BUY_ALLOC,45249.6,0.0,15400,2.93,0.199436
2024-08-29 09:32:00,603700.SH,BUY_ALLOC,45275.88,0.0,4600,9.68,0.196696
2024-08-29 00:00:00,002855.SZ,REBAL_SELL,45538.23,47625.0,100,19.03,0.2
2024-08-30 00:00:00,000058.SZ,REBAL_SELL,45704.63,46740.0,100,6.14,0.2
2024-08-30 00:00:00,002370.SZ,REBAL_SELL,45704.63,46816.0,300,3.04,0.2
2024-08-30 00:00:00,603700.SH,REBAL_SELL,45704.63,49864.0,300,10.83,0.2
2024-09-03 09:30:00,000913.SZ,BUY_ALLOC,46368.85,0.0,2900,15.95,0.199509
2024-09-03 09:30:00,600520.SH,BUY_ALLOC,46352.63,0.0,2600,17.72,0.198789
2024-09-03 09:37:00,600665.SH,BUY_ALLOC,46337.62,0.0,20100,2.3,0.199535
2024-09-03 00:00:00,002855.SZ,REBAL_SELL,46534.0,49056.0,100,20.42,0.2
2024-09-03 00:00:00,002370.SZ,REBAL_SELL,46534.0,47263.0,200,3.13,0.2
2024-09-03 00:00:00,600665.SH,REBAL_SELL,46534.0,47637.0,400,2.37,0.2
2024-09-04 00:00:00,600665.SH,REBAL_BUY,46555.83,45901.0,200,2.33,0.2
2024-09-05 09:31:00,002689.SZ,BUY_ALLOC,46794.43,0.0,18000,2.59,0.199254
2024-09-05 09:31:00,603991.SH,BUY_ALLOC,47005.77,0.0,1100,41.07,0.192219
2024-09-05 09:44:00,002335.SZ,BUY_ALLOC,47040.85,0.0,2300,19.74,0.193032
2024-09-05 00:00:00,600665.SH,REBAL_SELL,47137.51,47561.0,100,2.39,0.2
2024-09-05 00:00:00,002689.SZ,REBAL_SELL,47137.51,47700.0,200,2.65,0.2
2024-09-06 09:30:00,001319.SZ,BUY_ALLOC,47027.11,0.0,2500,18.12,0.192655
2024-09-06 00:00:00,002689.SZ,REBAL_SELL,46750.59,47170.0,100,2.65,0.2
2024-09-06 00:00:00,001319.SZ,REBAL_BUY,46750.59,43500.0,100,17.42,0.2
2024-09-09 09:31:00,600686.SH,BUY_ALLOC,45800.59,0.0,3300,13.68,0.197133
2024-09-09 00:00:00,600665.SH,REBAL_SELL,46482.06,47124.0,200,2.38,0.2
2024-09-09 00:00:00,600686.SH,REBAL_BUY,46482.06,43230.0,200,13.11,0.2
2024-09-10 10:05:00,600828.SH,BUY_ALLOC,45258.26,0.0,17200,2.63,0.199902
2024-09-10 00:00:00,600828.SH,REBAL_SELL,45066.84,45408.0,100,2.64,0.2
2024-09-12 09:30:00,600662.SH,BUY_ALLOC,44947.53,0.0,10500,4.25,0.198565
2024-09-12 09:32:00,600561.SH,BUY_ALLOC,44943.07,0.0,9800,4.56,0.198865
2024-09-12 00:00:00,600662.SH,REBAL_BUY,45193.4,44415.0,100,4.23,0.2
2024-09-13 09:34:00,603399.SH,BUY_ALLOC,44747.4,0.0,6800,6.5,0.197553
2024-09-13 09:36:00,002466.SZ,BUY_ALLOC,44919.78,0.0,1500,26.92,0.179787
2024-09-13 09:50:00,600370.SH,BUY_ALLOC,45068.75,0.0,1400,1.32,0.008201
2024-09-13 00:00:00,603399.SH,REBAL_BUY,44869.82,43248.0,200,6.37,0.2
2024-09-13 00:00:00,002466.SZ,REBAL_BUY,44869.82,38730.0,200,25.85,0.2
2024-09-13 00:00:00,600370.SH,REBAL_BUY,44869.82,1904.0,31500,1.36,0.2
2024-09-18 09:30:00,002123.SZ,BUY_ALLOC,43668.14,0.0,5700,6.57,0.171516
2024-09-18 09:31:00,603188.SH,BUY_ALLOC,43653.0,0.0,100,2.61,0.001196
2024-09-18 00:00:00,600370.SH,REBAL_SELL,43176.96,45402.0,1600,1.38,0.2
2024-09-18 00:00:00,002123.SZ,REBAL_BUY,43176.96,40413.0,300,7.1,0.2
2024-09-18 00:00:00,603188.SH,REBAL_BUY,43176.96,281.0,15200,2.81,0.2
2024-09-19 09:31:00,600082.SH,BUY_ALLOC,43762.29,0.0,19900,2.19,0.199171
2024-09-19 00:00:00,002123.SZ,REBAL_BUY,43837.53,41580.0,300,6.94,0.2
2024-09-19 00:00:00,603188.SH,REBAL_BUY,43837.53,42381.0,500,2.77,0.2
2024-09-19 00:00:00,600082.SH,REBAL_SELL,43837.53,45173.0,500,2.27,0.2
2024-09-20 09:31:00,002291.SZ,BUY_ALLOC,43818.93,0.0,9600,4.53,0.19849
2024-09-20 00:00:00,600370.SH,REBAL_BUY,43833.78,43194.0,400,1.38,0.2
2024-09-20 00:00:00,002123.SZ,REBAL_SELL,43833.78,44730.0,100,7.09,0.2
2024-09-20 00:00:00,600082.SH,REBAL_SELL,43833.78,48500.0,1800,2.5,0.2
2024-09-23 00:00:00,002123.SZ,REBAL_SELL,44770.69,45570.0,100,7.34,0.2
2024-09-23 00:00:00,002291.SZ,REBAL_SELL,44770.69,45696.0,100,4.76,0.2
2024-09-24 09:30:00,002031.SZ,BUY_ALLOC,45247.49,0.0,16900,2.67,0.19945
2024-09-24 09:30:00,603607.SH,BUY_ALLOC,45242.98,0.0,3200,14.02,0.198325
2024-09-24 09:37:00,000560.SZ,BUY_ALLOC,45232.09,0.0,1000,2.78,0.012292
2024-09-24 00:00:00,600370.SH,REBAL_SELL,45255.09,45648.0,200,1.44,0.2
2024-09-24 00:00:00,002291.SZ,REBAL_SELL,45255.09,46360.0,200,4.88,0.2
2024-09-24 00:00:00,002031.SZ,REBAL_SELL,45255.09,45968.0,200,2.72,0.2
2024-09-24 00:00:00,603607.SH,REBAL_SELL,45255.09,49888.0,200,15.57,0.2
