datetime,stock_code,stock_name,action,shares,price,amount,reason,pnl,buy_time_category,price_type,ref_price,fee
2025-05-29 09:31:00,600172.SH,黄河旋风,BUY,100,4.25,425.0,,,09:30-10:00,预估买入价,4.25,5.0
2025-05-29 00:00:00,605033.SH,美邦股份,SELL,2100,21.32,44772.0,断板止盈,5626.199999999998,09:30-10:00,收盘价,21.34,22.39
2025-05-29 00:00:00,002886.SZ,沃特股份,SELL,2300,20.29,46667.0,跌破五日线,714.7099999999961,09:30-10:00,收盘价,20.31,23.33
2025-05-30 00:00:00,002556.SZ,辉隆股份,SELL,8400,5.55,46620.0,跌破五日线,-299.3000000000021,09:30-10:00,收盘价,5.56,23.31
2025-05-30 00:00:00,603949.SH,雪龙集团,SELL,2100,20.42,42882.0,跌破五日线,-5885.439999999998,09:30-10:00,收盘价,20.44,21.44
2025-05-30 00:00:00,600172.SH,黄河旋风,SELL,100,4.19,419.00000000000006,跌破五日线,-15.999999999999961,09:30-10:00,收盘价,4.19,5.0
2025-06-03 09:30:00,603767.SH,中马传动,BUY,2800,16.53,46284.0,,,09:30-10:00,开盘价,17.16,23.14
2025-06-03 00:00:00,003042.SZ,中农联合,SELL,2700,17.34,46818.0,跌破五日线,816.7600000000008,09:30-10:00,收盘价,17.36,23.41
2025-06-03 00:00:00,002258.SZ,利尔化学,SELL,4100,11.66,47806.0,跌破五日线,791.0999999999971,09:30-10:00,收盘价,11.67,23.9
2025-06-04 09:30:00,002278.SZ,神开股份,BUY,5200,9.19,47788.0,,,09:30-10:00,开盘价,9.3,23.89
2025-06-04 09:30:00,600543.SH,莫高股份,BUY,8300,5.74,47642.0,,,09:30-10:00,开盘价,5.84,23.82
2025-06-04 00:00:00,002580.SZ,圣阳股份,SELL,3200,15.66,50112.0,炸板卖出,7729.109999999999,09:30-10:00,收盘价,15.68,25.06
2025-06-04 00:00:00,603767.SH,中马传动,SELL,2800,16.86,47208.0,跌破五日线,877.2599999999952,09:30-10:00,收盘价,16.88,23.6
2025-06-05 09:31:00,603127.SH,昭衍新药,BUY,2500,19.21,48025.0,,,09:30-10:00,预估买入价,19.19,24.01
2025-06-05 09:34:00,001277.SZ,速达股份,BUY,1000,44.42,44420.0,,,09:30-10:00,预估买入价,44.38,22.21
2025-06-05 09:36:00,001268.SZ,联合精密,BUY,2000,23.44,46880.0,,,09:30-10:00,预估买入价,23.42,23.44
2025-06-05 00:00:00,002278.SZ,神开股份,SELL,5000,9.27,46350.0,跌破五日线,352.93000000000035,09:30-10:00,收盘价,9.28,23.18
2025-06-05 00:00:00,600543.SH,莫高股份,SELL,8200,5.72,46904.0,跌破五日线,-211.27000000000376,09:30-10:00,收盘价,5.73,23.45
2025-06-06 09:32:00,603238.SH,诺邦股份,BUY,2700,17.52,47304.0,,,09:30-10:00,预估买入价,17.5,23.65
2025-06-06 00:00:00,603127.SH,昭衍新药,SELL,2500,18.83,47074.99999999999,跌破五日线,-997.5500000000063,09:30-10:00,收盘价,18.85,23.54
2025-06-06 00:00:00,001277.SZ,速达股份,SELL,1100,43.02,47322.0,跌破五日线,-1585.8699999999985,09:30-10:00,收盘价,43.06,23.66
2025-06-10 09:34:00,605033.SH,美邦股份,BUY,2300,20.96,48208.0,,,09:30-10:00,预估买入价,20.94,24.1
2025-06-10 09:36:00,600322.SH,津投城开,BUY,18300,2.65,48495.0,,,09:30-10:00,预估买入价,2.65,24.25
2025-06-10 10:09:00,600844.SH,丹化科技,BUY,14100,3.3,46530.0,,,10:00-11:30,预估买入价,3.3,23.26
2025-06-10 00:00:00,603238.SH,诺邦股份,SELL,2800,17.44,48832.0,跌破五日线,-272.0699999999952,09:30-10:00,收盘价,17.46,24.42
2025-06-11 09:30:00,002335.SZ,科华数据,BUY,1000,42.84,42840.0,,,09:30-10:00,开盘价,43.5,21.42
2025-06-11 09:30:00,002491.SZ,通鼎互联,BUY,500,5.86,2930.0,,,09:30-10:00,开盘价,5.94,5.0
2025-06-11 00:00:00,605033.SH,美邦股份,SELL,2300,20.25,46575.0,跌破五日线,-1680.390000000002,09:30-10:00,收盘价,20.27,23.29
2025-06-12 00:00:00,001268.SZ,联合精密,SELL,2000,24.32,48640.0,跌破五日线,1712.239999999998,09:30-10:00,收盘价,24.34,24.32
2025-06-12 00:00:00,600844.SH,丹化科技,SELL,14500,3.29,47705.0,跌破五日线,-192.1099999999969,10:00-11:30,收盘价,3.29,23.85
2025-06-12 00:00:00,002335.SZ,科华数据,SELL,1100,42.34,46574.00000000001,跌破五日线,-594.7099999999999,09:30-10:00,收盘价,42.38,23.29
2025-06-12 00:00:00,002491.SZ,通鼎互联,SELL,8200,5.76,47232.0,跌破五日线,-848.6200000000043,09:30-10:00,收盘价,5.77,23.62
